Borehole ID,X,Y,Top,Bottom,thickness,Layer Name
4766,525377.07,3383484.97,5.5,8.0,2.5,Clay
14254,530137.486,3383985.459,5.6,11.63,6.030000000000001,Clay
14944,527349.322,3385142.447,5.5,7.9,2.4000000000000004,Clay
15916,529361.741,3388211.631,3.5,10.2,6.699999999999999,Clay
15922,529116.639,3388284.413,3.0,8.3,5.300000000000001,Clay
18424,528412.57,3386409.066,5.35,9.5,4.15,Clay
18430,528238.309,3386492.608,7.4,8.9,1.5,Clay
19769,528640.259,3387513.777,7.4,10.6,3.1999999999999993,Clay
23689,525441.188,3386540.174,3.1,5.0,1.9,Clay
24219,527273.932,3385353.72,5.4,8.9,3.5,Clay
24342,526940.086,3384978.608,4.2,8.8,4.6000000000000005,Clay
24377,526356.883,3385624.068,3.1,8.1,5.0,Clay
25866,528340.014,3385334.824,5.8,12.0,6.2,Clay
25889,528400.424,3385292.893,7.3,11.4,4.1000000000000005,Clay
25930,528309.583,3385375.845,7.5,11.6,4.1,Clay
25957,528374.074,3385380.665,5.6,10.8,5.200000000000001,Clay
26530,528058.294,3385907.762,5.8,10.4,4.6000000000000005,Clay
28149,523551.923,3383971.935,4.5,7.5,3.0,Clay
29568,527800.458,3385471.169,5.3,9.8,4.500000000000001,Clay
30011,525954.404,3384825.812,3.1,5.9,2.8000000000000003,Clay
31020,521932.183,3387388.652,3.3,7.5,4.2,Clay
31188,527775.051,3385990.555,6.4,11.8,5.4,Clay
33265,527624.296,3385423.049,6.8,10.0,3.2,Clay
33358,526066.037,3383314.234,4.8,7.5,2.7,Clay
35664,526923.778,3388965.703,3.0,6.0,3.0,Clay
39452,524663.415,3385705.889,5.8,8.0,2.2,Clay
40657,523752.982,3385341.91,3.0,5.8,2.8,Clay
46111,520968.659,3384952.561,5.2,8.3,3.1000000000000005,Clay
46121,521054.64,3384864.829,5.6,9.6,4.0,Clay
46132,521195.951,3384777.127,5.0,9.0,4.0,Clay
47592,529496.069,3387579.233,4.8,8.0,3.2,Clay
47596,529437.788,3387549.253,4.6,9.4,4.800000000000001,Clay
47626,529456.549,3387597.433,4.5,9.5,5.0,Clay
56007,525959.32,3385791.092,3.9,6.5,2.6,Clay
56031,526010.63,3385782.412,4.1,7.7,3.6000000000000005,Clay
56032,525976.629,3385618.79,3.6,5.9,2.3000000000000003,Clay
56047,526017.09,3385670.531,3.1,6.4,3.3000000000000003,Clay
56054,525959.83,3385798.942,4.6,6.6,2.0,Clay
62715,528584.687,3387269.574,7.9,10.1,2.1999999999999993,Clay
62716,528599.007,3387295.245,7.8,10.2,2.3999999999999995,Clay
65673,520107.693,3385578.422,4.5,6.0,1.5,Clay
71125,528825.537,3388611.978,3.8,5.2,1.4000000000000004,Clay
71450,528926.765,3387949.14,3.6,6.0,2.4,Clay
71457,528950.805,3387939.15,3.0,7.3,4.3,Clay
71459,528947.545,3388000.161,4.2,6.81,2.6099999999999994,Clay
71462,528979.446,3388033.121,4.8,7.2,2.4000000000000004,Clay
71491,529005.046,3387961.69,3.4,7.65,4.25,Clay
72051,527730.328,3385622.611,5.9,7.3,1.3999999999999995,Clay
73948,513658.119,3388910.075,3.0,5.2,2.2,Clay
80221,529635.952,3389594.375,3.8,10.8,7.000000000000001,Clay
80232,529576.86,3389458.913,5.1,9.4,4.300000000000001,Clay
82776,518782.492,3386273.417,5.0,6.8,1.7999999999999998,Clay
84728,519954.022,3385644.594,4.0,7.3,3.3,Clay
